prior,obs,prediction
5-10KT|Southwest|3000|7000|25|90|VCTS,5-10KT|VRB|4000|5000|25|90|VCTS,UNKNOWN
5-10KT|VRB|4000|5000|25|90|VCTS,<5KT|VRB|4000|9999|26|90|VCTS,<5KT|VRB|4000|5000|25|100|VCTS
<5KT|VRB|4000|9999|26|90|VCTS,<5KT|VRB|3000|9000|26|90|VCTS,<5KT|VRB|6000|9999|28|90|NOSIG
<5KT|VRB|3000|9000|26|90|VCTS,<5KT|VRB|2000|6000|25|90|TS,UNKNOWN
<5KT|VRB|2000|6000|25|90|TS,5-10KT|Northeast|2000|7000|25|90|RA,UNKNOWN
5-10KT|Northeast|2000|7000|25|90|RA,5-10KT|North|5000|9999|28|80|-RA,UNKNOWN
5-10KT|North|5000|9999|28|80|-RA,<5KT|East|5000|9000|27|80|VCTS,UNKNOWN
<5KT|East|5000|9000|27|80|VCTS,<5KT|Southwest|2000|5000|26|90|HZ,UNKNOWN
<5KT|Southwest|2000|5000|26|90|HZ,5-10KT|Northwest|5000|9000|27|80|HZ,<5KT|VRB|3000|9999|30|80|HZ
5-10KT|Northwest|5000|9000|27|80|HZ,5-10KT|North|4000|9999|29|80|TSRA,5-10KT|North|8000|9000|30|70|NOSIG
5-10KT|North|4000|9999|29|80|TSRA,5-10KT|West|4000|8000|26|90|VCTS,UNKNOWN
5-10KT|West|4000|8000|26|90|VCTS,<5KT|VRB|3000|5000|25|90|HZ,UNKNOWN
<5KT|VRB|3000|5000|25|90|HZ,5-10KT|Northwest|2000|7000|26|90|HZ,<5KT|VRB|5000|9999|29|80|HZ
5-10KT|Northwest|2000|7000|26|90|HZ,5-10KT|North|4000|8000|27|80|VCTS,UNKNOWN
5-10KT|North|4000|8000|27|80|VCTS,<5KT|Northwest|4000|6000|25|90|HZ,UNKNOWN
<5KT|Northwest|4000|6000|25|90|HZ,<5KT|West|2000|4000|25|90|HZ,5-10KT|VRB|3000|9999|29|70|HZ
<5KT|West|2000|4000|25|90|HZ,<5KT|West|2000|8000|27|80|VCTS,<5KT|West|2000|7000|29|70|HZ
<5KT|West|2000|8000|27|80|VCTS,5-10KT|East|2000|7000|27|90|VCTS,UNKNOWN
5-10KT|East|2000|7000|27|90|VCTS,<5KT|North|2000|6000|26|90|TS,UNKNOWN
<5KT|North|2000|6000|26|90|TS,<5KT|West|2000|5000|25|90|VCTS,<5KT|VRB|3000|5000|28|80|HZ
<5KT|West|2000|5000|25|90|VCTS,<5KT|VRB|5000|9999|26|90|RA,<5KT|Southeast|3000|9999|27|90|VCTS
<5KT|VRB|5000|9999|26|90|RA,5-10KT|North|9000|9999|30|70|NOSIG,UNKNOWN
5-10KT|North|9000|9999|30|70|NOSIG,<5KT|Northeast|3000|9000|27|80|TSRA,<5KT|East|4000|8000|27|80|HZ
5-10KT|Northwest|4000|9999|28|70|HZ,5-10KT|West|4000|7000|27|80|VCTS,UNKNOWN
5-10KT|West|4000|7000|27|80|VCTS,5-10KT|West|8000|8000|26|80|NOSIG,UNKNOWN
5-10KT|West|8000|8000|26|80|NOSIG,5-10KT|Northwest|8000|8000|25|80|NOSIG,UNKNOWN
5-10KT|Northwest|8000|8000|25|80|NOSIG,5-10KT|West|8000|9999|28|70|NOSIG,5-10KT|Northwest|8000|9999|27|70|NOSIG
